"","Taxon","IUCNName","Year","IUCN_code","ID"
"12037","Naultinus elegans","Naultinus elegans",2018,"NE","Naultinus elegans_2018_Not assessed"
"12038","Naultinus elegans","Naultinus elegans",2019,"VU","Naultinus elegans_2019_VU"
"12039","Naultinus elegans","Naultinus elegans",2020,"VU","Naultinus elegans_2020_VU"
"12040","Naultinus elegans","Naultinus elegans",2021,"VU","Naultinus elegans_2021_VU"
"12041","Naultinus elegans","Naultinus elegans",2022,"VU","Naultinus elegans_2022_VU"
"12042","Naultinus elegans","Naultinus elegans",2023,"VU","Naultinus elegans_2023_VU"
"12043","Naultinus gemmeus","Naultinus gemmeus",1997,"NE","Naultinus gemmeus_1997_Not assessed"
"12044","Naultinus gemmeus","Naultinus gemmeus",1998,"NE","Naultinus gemmeus_1998_Not assessed"
"12045","Naultinus gemmeus","Naultinus gemmeus",1999,"NE","Naultinus gemmeus_1999_Not assessed"
"12046","Naultinus gemmeus","Naultinus gemmeus",2000,"NE","Naultinus gemmeus_2000_Not assessed"
"12047","Naultinus gemmeus","Naultinus gemmeus",2001,"NE","Naultinus gemmeus_2001_Not assessed"
"12048","Naultinus gemmeus","Naultinus gemmeus",2002,"NE","Naultinus gemmeus_2002_Not assessed"
"12049","Naultinus gemmeus","Naultinus gemmeus",2003,"NE","Naultinus gemmeus_2003_Not assessed"
"12050","Naultinus gemmeus","Naultinus gemmeus",2004,"NE","Naultinus gemmeus_2004_Not assessed"
"12051","Naultinus gemmeus","Naultinus gemmeus",2005,"NE","Naultinus gemmeus_2005_Not assessed"
"12052","Naultinus gemmeus","Naultinus gemmeus",2006,"NE","Naultinus gemmeus_2006_Not assessed"
"12053","Naultinus gemmeus","Naultinus gemmeus",2007,"NE","Naultinus gemmeus_2007_Not assessed"
"12054","Naultinus gemmeus","Naultinus gemmeus",2008,"NE","Naultinus gemmeus_2008_Not assessed"
"12055","Naultinus gemmeus","Naultinus gemmeus",2009,"NE","Naultinus gemmeus_2009_Not assessed"
"12056","Naultinus gemmeus","Naultinus gemmeus",2010,"NT","Naultinus gemmeus_2010_NT"
"12057","Naultinus gemmeus","Naultinus gemmeus",2011,"NT","Naultinus gemmeus_2011_NT"
"12058","Naultinus gemmeus","Naultinus gemmeus",2012,"NT","Naultinus gemmeus_2012_NT"
"12059","Naultinus gemmeus","Naultinus gemmeus",2013,"NT","Naultinus gemmeus_2013_NT"
"12060","Naultinus gemmeus","Naultinus gemmeus",2014,"NT","Naultinus gemmeus_2014_NT"
"12061","Naultinus gemmeus","Naultinus gemmeus",2015,"NT","Naultinus gemmeus_2015_NT"
"12062","Naultinus gemmeus","Naultinus gemmeus",2016,"NT","Naultinus gemmeus_2016_NT"
"12063","Naultinus gemmeus","Naultinus gemmeus",2017,"NT","Naultinus gemmeus_2017_NT"
"12064","Naultinus gemmeus","Naultinus gemmeus",2018,"NT","Naultinus gemmeus_2018_NT"
"12065","Naultinus gemmeus","Naultinus gemmeus",2019,"EN","Naultinus gemmeus_2019_EN"
"12066","Naultinus gemmeus","Naultinus gemmeus",2020,"EN","Naultinus gemmeus_2020_EN"
"12067","Naultinus gemmeus","Naultinus gemmeus",2021,"EN","Naultinus gemmeus_2021_EN"
"12068","Naultinus gemmeus","Naultinus gemmeus",2022,"EN","Naultinus gemmeus_2022_EN"
"12069","Naultinus gemmeus","Naultinus gemmeus",2023,"EN","Naultinus gemmeus_2023_EN"
"12070","Naultinus grayii","Naultinus grayii",1997,"NE","Naultinus grayii_1997_Not assessed"
"12071","Naultinus grayii","Naultinus grayii",1998,"NE","Naultinus grayii_1998_Not assessed"
"12072","Naultinus grayii","Naultinus grayii",1999,"NE","Naultinus grayii_1999_Not assessed"
"12073","Naultinus grayii","Naultinus grayii",2000,"NE","Naultinus grayii_2000_Not assessed"
"12074","Naultinus grayii","Naultinus grayii",2001,"NE","Naultinus grayii_2001_Not assessed"
"12075","Naultinus grayii","Naultinus grayii",2002,"NE","Naultinus grayii_2002_Not assessed"
"12076","Naultinus grayii","Naultinus grayii",2003,"NE","Naultinus grayii_2003_Not assessed"
"12077","Naultinus grayii","Naultinus grayii",2004,"NE","Naultinus grayii_2004_Not assessed"
"12078","Naultinus grayii","Naultinus grayii",2005,"NE","Naultinus grayii_2005_Not assessed"
"12079","Naultinus grayii","Naultinus grayii",2006,"NE","Naultinus grayii_2006_Not assessed"
"12080","Naultinus grayii","Naultinus grayii",2007,"NE","Naultinus grayii_2007_Not assessed"
"12081","Naultinus grayii","Naultinus grayii",2008,"NE","Naultinus grayii_2008_Not assessed"
"12082","Naultinus grayii","Naultinus grayii",2009,"NE","Naultinus grayii_2009_Not assessed"
"12083","Naultinus grayii","Naultinus grayii",2010,"NE","Naultinus grayii_2010_Not assessed"
"12084","Naultinus grayii","Naultinus grayii",2011,"NE","Naultinus grayii_2011_Not assessed"
"12085","Naultinus grayii","Naultinus grayii",2012,"NE","Naultinus grayii_2012_Not assessed"
"12086","Naultinus grayii","Naultinus grayii",2013,"NE","Naultinus grayii_2013_Not assessed"
"12087","Naultinus grayii","Naultinus grayii",2014,"NE","Naultinus grayii_2014_Not assessed"
"12088","Naultinus grayii","Naultinus grayii",2015,"NE","Naultinus grayii_2015_Not assessed"
"12089","Naultinus grayii","Naultinus grayii",2016,"NE","Naultinus grayii_2016_Not assessed"
"12090","Naultinus grayii","Naultinus grayii",2017,"NE","Naultinus grayii_2017_Not assessed"
"12091","Naultinus grayii","Naultinus grayii",2018,"NE","Naultinus grayii_2018_Not assessed"
"12092","Naultinus grayii","Naultinus grayii",2019,"NT","Naultinus grayii_2019_NT"
"12093","Naultinus grayii","Naultinus grayii",2020,"NT","Naultinus grayii_2020_NT"
"12094","Naultinus grayii","Naultinus grayii",2021,"NT","Naultinus grayii_2021_NT"
"12095","Naultinus grayii","Naultinus grayii",2022,"NT","Naultinus grayii_2022_NT"
"12096","Naultinus grayii","Naultinus grayii",2023,"NT","Naultinus grayii_2023_NT"
"12097","Naultinus manukanus","Naultinus manukanus",1997,"NE","Naultinus manukanus_1997_Not assessed"
"12098","Naultinus manukanus","Naultinus manukanus",1998,"NE","Naultinus manukanus_1998_Not assessed"
"12099","Naultinus manukanus","Naultinus manukanus",1999,"NE","Naultinus manukanus_1999_Not assessed"
"12100","Naultinus manukanus","Naultinus manukanus",2000,"NE","Naultinus manukanus_2000_Not assessed"
"12101","Naultinus manukanus","Naultinus manukanus",2001,"NE","Naultinus manukanus_2001_Not assessed"
"12102","Naultinus manukanus","Naultinus manukanus",2002,"NE","Naultinus manukanus_2002_Not assessed"
"12103","Naultinus manukanus","Naultinus manukanus",2003,"NE","Naultinus manukanus_2003_Not assessed"
"12104","Naultinus manukanus","Naultinus manukanus",2004,"NE","Naultinus manukanus_2004_Not assessed"
"12105","Naultinus manukanus","Naultinus manukanus",2005,"NE","Naultinus manukanus_2005_Not assessed"
"12106","Naultinus manukanus","Naultinus manukanus",2006,"NE","Naultinus manukanus_2006_Not assessed"
"12107","Naultinus manukanus","Naultinus manukanus",2007,"NE","Naultinus manukanus_2007_Not assessed"
"12108","Naultinus manukanus","Naultinus manukanus",2008,"NE","Naultinus manukanus_2008_Not assessed"
"12109","Naultinus manukanus","Naultinus manukanus",2009,"NE","Naultinus manukanus_2009_Not assessed"
"12110","Naultinus manukanus","Naultinus manukanus",2010,"NE","Naultinus manukanus_2010_DD"
"12111","Naultinus manukanus","Naultinus manukanus",2011,"NE","Naultinus manukanus_2011_DD"
"12112","Naultinus manukanus","Naultinus manukanus",2012,"NE","Naultinus manukanus_2012_DD"
"12113","Naultinus manukanus","Naultinus manukanus",2013,"NE","Naultinus manukanus_2013_DD"
"12114","Naultinus manukanus","Naultinus manukanus",2014,"NE","Naultinus manukanus_2014_DD"
"12115","Naultinus manukanus","Naultinus manukanus",2015,"NE","Naultinus manukanus_2015_DD"
"12116","Naultinus manukanus","Naultinus manukanus",2016,"NE","Naultinus manukanus_2016_DD"
"12117","Naultinus manukanus","Naultinus manukanus",2017,"NE","Naultinus manukanus_2017_DD"
"12118","Naultinus manukanus","Naultinus manukanus",2018,"NE","Naultinus manukanus_2018_DD"
"12119","Naultinus manukanus","Naultinus manukanus",2019,"EN","Naultinus manukanus_2019_EN"
"12120","Naultinus manukanus","Naultinus manukanus",2020,"EN","Naultinus manukanus_2020_EN"
"12121","Naultinus manukanus","Naultinus manukanus",2021,"EN","Naultinus manukanus_2021_EN"
"12122","Naultinus manukanus","Naultinus manukanus",2022,"EN","Naultinus manukanus_2022_EN"
"12123","Naultinus manukanus","Naultinus manukanus",2023,"EN","Naultinus manukanus_2023_EN"
